iter	Passed	Remaining
724	34414	107991
725	34459	107936
726	34510	107898
727	34560	107859
728	34613	107828
729	34664	107793
730	34708	107734
731	34755	107684
732	34793	107607
733	34840	107557
734	34886	107506
735	34939	107477
736	34988	107432
737	35034	107382
738	35081	107332
739	35128	107282
740	35176	107237
741	35221	107184
742	35268	107135
743	35316	107090
744	35366	107048
745	35414	107001
746	35461	106954
747	35507	106902
748	35554	106853
749	35603	106810
750	35651	106765
751	35697	106713
752	35746	106670
753	35796	106629
754	35843	106580
755	35880	106502
756	35931	106465
757	35978	106416
758	36025	106366
759	36071	106315
760	36118	106266
761	36164	106215
762	36213	106171
763	36258	106118
764	36304	106066
765	36354	106026
766	36403	105984
767	36450	105935
768	36498	105887
769	36547	105844
770	36592	105791
771	36641	105747
772	36687	105696
773	36734	105646
774	36780	105595
775	36825	105542
776	36871	105488
777	36916	105434
778	36960	105376
779	36999	105307
780	37046	105256
781	37091	105204
782	37136	105148
783	37185	105106
784	37233	105059
785	37279	105009
786	37327	104962
787	37374	104913
788	37420	104862
789	37465	104809
790	37504	104738
791	37550	104686
792	37596	104636
793	37643	104587
794	37691	104539
795	37738	104492
796	37787	104448
797	37835	104402
798	37882	104355
799	37929	104307
800	37976	104258
801	38025	104215
802	38074	104171
803	38121	104123
804	38169	104075
805	38215	104024
806	38259	103968
807	38296	103893
808	38347	103855
809	38392	103802
810	38439	103752
811	38486	103703
812	38532	103653
813	38578	103602
814	38622	103546
815	38669	103497
816	38720	103459
817	38766	103408
818	38813	103361
819	38859	103308
820	38906	103261
821	38957	103223
822	39003	103173
823	39051	103127
824	39096	103073
825	39142	103021
826	39190	102975
827	39236	102923
828	39273	102849
829	39321	102803
830	39367	102753
831	39414	102704
832	39462	102658
833	39510	102612
834	39557	102564
835	39604	102517
836	39650	102466
837	39698	102419
838	39743	102366
839	39790	102317
840	39839	102275
841	39877	102204
842	39925	102159
843	39971	102108
844	40017	102057
845	40056	101987
846	40103	101940
847	40148	101886
848	40197	101842
849	40243	101793
850	40290	101744
851	40337	101695
852	40385	101651
853	40431	101600
854	40478	101550
855	40525	101504
856	40572	101455
857	40612	101390
858	40659	101340
859	40695	101266
860	40744	101221
861	40798	101192
862	40845	101144
863	40894	101099
864	40941	101052
865	40992	101013
866	41041	100969
867	41087	100919
868	41133	100870
869	41177	100814
870	41224	100766
871	41272	100720
872	41320	100675
873	41364	100619
874	41413	100574
875	41458	100522
876	41504	100473
877	41545	100410
878	41595	100368
879	41642	100320
880	41687	100268
881	41734	100220
882	41778	100164
883	41822	100108
884	41870	100062
885	41915	100011
886	41963	99964
887	42002	99897
888	42049	99849
889	42094	99796
890	42142	99752
891	42193	99713
892	42245	99677
893	42293	99630
894	42339	99580
895	42374	99504
896	42423	99461
897	42472	99417
898	42518	99366
899	42565	99318
900	42614	99276
901	42660	99225
902	42709	99182
903	42754	99130
904	42804	99087
905	42852	99043
906	42897	98989
907	42942	98938
908	42980	98870
909	43030	98827
910	43077	98780
911	43118	98718
912	43168	98677
913	43214	98627
914	43260	98576
915	43305	98524
916	43354	98480
917	43399	98429
918	43445	98378
919	43491	98329
920	43538	98279
921	43573	98206
922	43622	98162
923	43669	98113
924	43715	98063
925	43762	98016
926	43807	97964
927	43856	97921
928	43907	97882
929	43953	97831
930	43998	97780
931	44037	97714
932	44083	97664
933	44131	97618
934	44175	97565
935	44221	97513
936	44268	97466
937	44314	97415
938	44360	97366
939	44404	97311
940	44451	97264
941	44498	97215
942	44541	97160
943	44591	97119
944	44639	97072
945	44684	97020
946	44728	96966
947	44765	96898
948	44813	96852
949	44859	96802
950	44906	96754
951	44953	96706
952	45000	96659
953	45047	96610
954	45094	96562
955	45139	96511
956	45185	96462
957	45230	96408
958	45276	96360
959	45326	96317
960	45372	96269
961	45410	96201
962	45458	96155
963	45503	96105
964	45552	96060
965	45599	96013
966	45644	95962
967	45690	95911
968	45736	95862
969	45782	95813
970	45828	95762
971	45876	95717
972	45923	95671
973	45974	95630
974	46019	95578
975	46055	95508
976	46102	95460
977	46149	95413
978	46195	95364
979	46242	95315
980	46288	95267
981	46336	95221
982	46382	95172
983	46430	95124
984	46478	95081
985	46525	95032
986	46572	94984
987	46617	94932
988	46664	94885
989	46716	94849
990	46767	94810
991	46817	94766
992	46868	94728
993	46920	94690
994	46972	94653
995	47024	94615
996	47074	94573
997	47124	94532
998	47173	94488
999	47226	94453
1000	47275	94409
1001	47315	94348
1002	47369	94314
1003	47423	94280
1004	47475	94242
1005	47528	94207
1006	47570	94148
1007	47623	94114
1008	47682	94088
1009	47735	94052
1010	47785	94010
1011	47832	93963
1012	47878	93913
